method,method_label,k,cases,hit_at_k,hit_at_k_count,hit_at_k_denominator,hit_at_k_ci95_low,hit_at_k_ci95_high,mrr_at_k,forbidden_absent_at_k,forbidden_absent_at_k_count,forbidden_absent_at_k_denominator,forbidden_absent_at_k_ci95_low,forbidden_absent_at_k_ci95_high,category_primary_pass,category_primary_pass_count,category_primary_pass_denominator,category_primary_pass_ci95_low,category_primary_pass_ci95_high
chronorag_full,ChronoRAG Full,1,200,0.825,165,200,0.7663556885175099,0.8713948493372666,0.825,1.0,200,200,0.9811546736227335,1.0,0.70625,113,160,0.6315031760687836,0.7713252684229707
chronorag_full,ChronoRAG Full,3,200,0.89,178,200,0.839073090026985,0.926227555398747,0.8541666666666669,0.995,199,200,0.9722262956021069,0.9991168312843989,0.95625,153,160,0.9124569584575362,0.9786483884484656
chronorag_full,ChronoRAG Full,5,200,0.895,179,200,0.8448196800887696,0.9302925120731899,0.8554166666666668,0.995,199,200,0.9722262956021069,0.9991168312843989,0.9625,154,160,0.9206101926328578,0.9827020768335
chronorag_full,ChronoRAG Full,10,200,0.895,179,200,0.8448196800887696,0.9302925120731899,0.8554166666666668,0.995,199,200,0.9722262956021069,0.9991168312843989,0.9625,154,160,0.9206101926328578,0.9827020768335
bm25,BM25,1,200,0.775,155,200,0.7122587676433947,0.8273763028491088,0.775,0.955,191,200,0.9167032959981803,0.976147456998507,0.60625,97,160,0.5289051905524178,0.6786124929736372
bm25,BM25,3,200,0.925,185,200,0.8799563897637055,0.954025082815618,0.8441666666666668,0.815,163,200,0.7554293723884824,0.8626980719938395,0.6,96,160,0.522604836968219,0.67270592399748
bm25,BM25,5,200,0.935,187,200,0.8919809207009312,0.961623645350847,0.8466666666666669,0.76,152,200,0.6962665902079583,0.8139338400758631,0.575,92,160,0.4975265689227389,0.6489565018015353
bm25,BM25,10,200,0.935,187,200,0.8919809207009312,0.961623645350847,0.8492757936507939,0.76,152,200,0.6962665902079583,0.8139338400758631,0.575,92,160,0.4975265689227389,0.6489565018015353
date_filter_rag,Date-filter RAG,1,200,0.775,155,200,0.7122587676433947,0.8273763028491088,0.775,0.955,191,200,0.9167032959981803,0.976147456998507,0.60625,97,160,0.5289051905524178,0.6786124929736372
date_filter_rag,Date-filter RAG,3,200,0.925,185,200,0.8799563897637055,0.954025082815618,0.8450000000000002,0.83,166,200,0.7718411637168737,0.8757209208741302,0.63125,101,160,0.5542327024207806,0.7021126713466993
date_filter_rag,Date-filter RAG,5,200,0.935,187,200,0.8919809207009312,0.961623645350847,0.8475000000000001,0.765,153,200,0.7015863111723746,0.8184256658476741,0.6,96,160,0.522604836968219,0.67270592399748
date_filter_rag,Date-filter RAG,10,200,0.935,187,200,0.8919809207009312,0.961623645350847,0.8501785714285716,0.765,153,200,0.7015863111723746,0.8184256658476741,0.6,96,160,0.522604836968219,0.67270592399748
dense_only,Dense-only,1,200,0.385,77,200,0.32033309726923215,0.45400132779753916,0.385,0.97,194,200,0.9361057075454807,0.9861796856598887,0.35625,57,160,0.28621456869575146,0.43302621241605643
dense_only,Dense-only,3,200,0.54,108,200,0.4708228918895333,0.6076694820002854,0.4549999999999999,0.835,167,200,0.7773421846094044,0.880031446717827,0.2875,46,160,0.22300116781037166,0.36196346513751804
dense_only,Dense-only,5,200,0.61,122,200,0.5409374595716976,0.6749165686253038,0.47100000000000003,0.795,159,200,0.7337430194757748,0.8451382379616379,0.3,48,160,0.23436363950797706,0.37501483856062506
dense_only,Dense-only,10,200,0.61,122,200,0.5409374595716976,0.6749165686253038,0.4799563492063493,0.795,159,200,0.7337430194757748,0.8451382379616379,0.3,48,160,0.23436363950797706,0.37501483856062506
